Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides AGE	Peptides FPS	Razor + unique peptides AGE	Razor + unique peptides FPS	Unique peptides AGE	Unique peptides FPS	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Identification type AGE	Identification type FPS	Reporter intensity corrected 1 AGE	Reporter intensity corrected 2 AGE	Reporter intensity corrected 3 AGE	Reporter intensity corrected 4 AGE	Reporter intensity corrected 5 AGE	Reporter intensity corrected 6 AGE	Reporter intensity corrected 7 AGE	Reporter intensity corrected 8 AGE	Reporter intensity corrected 9 AGE	Reporter intensity corrected 10 AGE	Reporter intensity corrected 11 AGE	Reporter intensity corrected 1 FPS	Reporter intensity corrected 2 FPS	Reporter intensity corrected 3 FPS	Reporter intensity corrected 4 FPS	Reporter intensity corrected 5 FPS	Reporter intensity corrected 6 FPS	Reporter intensity corrected 7 FPS	Reporter intensity corrected 8 FPS	Reporter intensity corrected 9 FPS	Reporter intensity corrected 10 FPS	Reporter intensity corrected 11 FPS	Reporter intensity 1 AGE	Reporter intensity 2 AGE	Reporter intensity 3 AGE	Reporter intensity 4 AGE	Reporter intensity 5 AGE	Reporter intensity 6 AGE	Reporter intensity 7 AGE	Reporter intensity 8 AGE	Reporter intensity 9 AGE	Reporter intensity 10 AGE	Reporter intensity 11 AGE	Reporter intensity 1 FPS	Reporter intensity 2 FPS	Reporter intensity 3 FPS	Reporter intensity 4 FPS	Reporter intensity 5 FPS	Reporter intensity 6 FPS	Reporter intensity 7 FPS	Reporter intensity 8 FPS	Reporter intensity 9 FPS	Reporter intensity 10 FPS	Reporter intensity 11 FPS	Reporter intensity count 1 AGE	Reporter intensity count 2 AGE	Reporter intensity count 3 AGE	Reporter intensity count 4 AGE	Reporter intensity count 5 AGE	Reporter intensity count 6 AGE	Reporter intensity count 7 AGE	Reporter intensity count 8 AGE	Reporter intensity count 9 AGE	Reporter intensity count 10 AGE	Reporter intensity count 11 AGE	Reporter intensity count 1 FPS	Reporter intensity count 2 FPS	Reporter intensity count 3 FPS	Reporter intensity count 4 FPS	Reporter intensity count 5 FPS	Reporter intensity count 6 FPS	Reporter intensity count 7 FPS	Reporter intensity count 8 FPS	Reporter intensity count 9 FPS	Reporter intensity count 10 FPS	Reporter intensity count 11 FPS	Sequence coverage AGE [%]	Sequence coverage FPS [%]	Intensity	Intensity AGE	Intensity FPS	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
P16636	P16636	9	9	9	Protein-lysine 6-oxidase	Lox	sp|P16636|LYOX_RAT Protein-lysine 6-oxidase OS=Rattus norvegicus OX=10116 GN=Lox PE=1 SV=2	1	9	9	9	9	7	9	7	9	7	31.1	31.1	31.1	46.558	411	411	4.23	5	6	3	2	1	5	6	2	0	136.26	By MS/MS	By MS/MS	5453300	7240200	48621	45852	7506600	5525800	7923800	8968100	6296700	7486000	8663200	11938000	14523000	98717	13638000	120800	8101300	9963300	10213000	9932900	13762000	9670200	5077900	6728800	515340	591810	7210400	5365700	7965300	8900000	6560900	7372200	8283800	11116000	13548000	902980	13893000	366630	8642000	9590500	10384000	10097000	13295000	9336600	4	4	2	3	4	4	4	4	4	4	4	6	6	3	6	5	6	6	6	6	6	6	31.1	24.3	7027700000	3931500000	3096200000	29				512	2696;5279;8846;11708;12428;12429;13807;14644;14681	True;True;True;True;True;True;True;True;True	2781;5441;9175;12116;12857;12858;14280;15136;15173	14197;28079;28080;28081;46911;46912;46913;46914;46915;46916;60602;60603;60604;64645;64646;64647;64648;64649;64650;64651;64652;64653;72589;72590;72591;72592;72593;77042;77216;77217	15150;29719;29720;29721;49147;49148;49149;49150;49151;49152;49153;63453;63454;63455;63456;63457;67763;67764;67765;67766;67767;76298;76299;76300;76301;76302;81001;81181;81182	15150;29721;49151;63454;67763;67764;76300;81001;81181			-1
P16638;P16638-2	P16638;P16638-2	30;30	30;30	30;30	ATP-citrate synthase	Acly	sp|P16638|ACLY_RAT ATP-citrate synthase OS=Rattus norvegicus OX=10116 GN=Acly PE=1 SV=1;sp|P16638-2|ACLY_RAT Isoform 2 of ATP-citrate synthase OS=Rattus norvegicus OX=10116 GN=Acly	2	30	30	30	29	28	29	28	29	28	33.6	33.6	33.6	120.63	1100	1100;1091	4.72	19	19	19	14	10	13	34	21	0	323.31	By MS/MS	By MS/MS	121920000	127320000	1246800	435960	118970000	109030000	146580000	144450000	111910000	152230000	136580000	72232000	67770000	956550	62695000	267730	83641000	75950000	84731000	62517000	78181000	59698000	113530000	118330000	11084000	9988800	114830000	105100000	146160000	145150000	116050000	148350000	130990000	67262000	63217000	5820300	64631000	2186300	83940000	72665000	85867000	64061000	76626000	57676000	14	14	10	7	14	14	14	14	14	15	15	10	10	8	10	7	10	10	10	10	11	11	33.5	31.6	70260000000	36598000000	33662000000	157				513	412;1205;1820;2153;2361;2410;2465;3118;3600;4005;4471;4748;5073;5074;5135;5621;6394;7084;7385;9534;10750;11092;12070;12113;12606;12607;12968;14102;14451;14589	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	423;424;1250;1878;2222;2435;2484;2542;3213;3712;3713;4129;4605;4606;4891;5228;5229;5291;5793;6594;7300;7608;9884;11134;11486;12491;12536;13038;13039;13410;14582;14938;15078	2273;2274;2275;2276;2277;2278;2279;2280;6470;6471;6472;6473;6474;9749;9750;11475;11476;11477;11478;11479;11480;11481;11482;11483;11484;11485;12454;12455;12456;12457;12458;12459;12460;12461;12462;12734;12735;12736;12737;12956;12957;16430;16431;16432;16433;16434;16435;19163;19164;19165;19166;21251;21252;21253;23601;23602;23603;23604;23605;23606;23607;23608;23609;23610;25016;25017;25018;25019;25020;26938;26939;26940;26941;26942;26943;27317;27318;30023;30024;30025;30026;30027;30028;34177;34178;34179;34180;37832;39199;39200;39201;39202;50160;50161;50162;50163;55768;55769;55770;57561;57562;62715;62716;62717;62718;62719;62720;62721;62722;62723;62724;63066;65500;65501;65502;65503;65504;65505;65506;65507;65508;67853;67854;67855;67856;67857;67858;67859;67860;67861;67862;67863;74185;74186;74187;74188;74189;74190;74191;74192;74193;74194;75905;75906;75907;75908;76676;76677;76678	2495;2496;2497;2498;2499;2500;2501;2502;6830;6831;6832;6833;6834;6835;10317;10318;12262;12263;12264;12265;12266;12267;12268;12269;12270;12271;12272;12273;13269;13270;13271;13272;13273;13274;13275;13276;13277;13278;13279;13280;13281;13282;13581;13582;13583;13810;13811;17463;17464;17465;17466;17467;17468;17469;20397;20398;20399;20400;20401;20402;20403;20404;22602;22603;22604;25028;25029;25030;25031;25032;25033;25034;25035;26481;26482;26483;26484;26485;28508;28509;28510;28511;28512;28917;28918;31746;31747;31748;31749;36117;36118;36119;36120;39852;41267;41268;41269;52558;52559;52560;52561;52562;52563;52564;52565;58392;58393;58394;60260;60261;65722;65723;65724;65725;65726;65727;65728;65729;65730;65731;65732;66122;68634;68635;68636;68637;68638;68639;68640;68641;68642;68643;68644;71263;71264;71265;71266;71267;71268;71269;71270;71271;71272;78014;78015;78016;78017;78018;78019;78020;79801;79802;79803;79804;80573;80574;80575	2499;6835;10317;12272;13271;13583;13810;17463;20402;22603;25035;26484;28509;28512;28917;31749;36120;39852;41267;52562;58392;60261;65729;66122;68639;68643;71271;78014;79803;80574	164;165;166	822;856;956	-1;-1
P16970	P16970	3	3	3	ATP-binding cassette sub-family D member 3	Abcd3	sp|P16970|ABCD3_RAT ATP-binding cassette sub-family D member 3 OS=Rattus norvegicus OX=10116 GN=Abcd3 PE=1 SV=3	1	3	3	3	2	2	2	2	2	2	8	8	8	75.315	659	659	5.5				2	1	1	2		0	26.5	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	4489400	4181000	85899	4813200	7898.3	4426800	4324000	4469300	4798500	6930600	5158400	0	0	0	0	0	0	0	0	0	0	0	4180700	3903700	389490	4859800	121280	4534500	4175000	4615600	4873700	6667400	4964900	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	4.2	5.9	1397500000	449280000	948250000	6				514	4090;4808;5338	True;True;True	4216;4951;5503	21617;21618;25430;28391;28392;28393	22995;26913;30055;30056;30057;30058	22995;26913;30056			-1
P16975	P16975	11	11	11	SPARC	Sparc	sp|P16975|SPRC_RAT SPARC OS=Rattus norvegicus OX=10116 GN=Sparc PE=1 SV=4	1	11	11	11	11	11	11	11	11	11	40.9	40.9	40.9	34.296	301	301	4.42	9	7	12	18	13	12	8	7	0	173.95	By MS/MS	By MS/MS	27855000	33861000	162030	97444	29978000	25703000	32564000	31947000	20942000	25895000	24903000	20105000	20064000	259700	20588000	91462	23498000	21658000	22896000	21107000	28083000	21056000	25936000	31469000	2407000	2867100	28814000	24746000	32536000	31985000	21954000	25540000	23900000	18721000	18724000	1628500	21009000	644460	23745000	20824000	23465000	21495000	27214000	20314000	6	6	3	6	6	6	6	6	6	6	6	6	6	6	6	5	6	6	6	6	6	6	40.9	40.9	64897000000	28146000000	36751000000	92				515	861;1565;3096;6801;7133;9010;9011;10138;11917;12949;14445	True;True;True;True;True;True;True;True;True;True;True	893;1621;3190;7011;7350;9346;9347;10497;12333;13391;14932	4696;4697;4698;4699;8383;8384;8385;8386;8387;16313;16314;16315;16316;16317;16318;16319;16320;16321;16322;16323;16324;16325;16326;16327;16328;36372;36373;36374;36375;38070;38071;47797;47798;47799;47800;47801;47802;47803;47804;47805;47806;47807;47808;47809;47810;47811;47812;47813;47814;47815;47816;47817;52849;52850;52851;52852;52853;52854;52855;52856;52857;52858;52859;52860;52861;61674;61675;61676;61677;61678;67740;67741;67742;67743;75873;75874;75875;75876;75877;75878;75879;75880;75881;75882;75883;75884	5012;5013;5014;5015;5016;5017;8847;8848;8849;8850;8851;8852;17342;17343;17344;17345;17346;17347;17348;17349;17350;17351;17352;17353;17354;17355;17356;17357;38417;38418;38419;38420;40096;50083;50084;50085;50086;50087;50088;50089;50090;50091;50092;50093;50094;50095;50096;50097;50098;50099;50100;50101;50102;50103;50104;50105;50106;55378;55379;55380;55381;55382;55383;55384;55385;55386;55387;55388;55389;64582;64583;64584;64585;64586;71148;71149;71150;71151;71152;79768;79769;79770;79771;79772;79773;79774;79775;79776;79777;79778;79779;79780	5017;8848;17355;38419;40096;50088;50102;55380;64583;71150;79778			-1
P17046	P17046	3	3	3	Lysosome-associated membrane glycoprotein 2	Lamp2	sp|P17046|LAMP2_RAT Lysosome-associated membrane glycoprotein 2 OS=Rattus norvegicus OX=10116 GN=Lamp2 PE=1 SV=3	1	3	3	3	3	3	3	3	3	3	6.3	6.3	6.3	45.155	411	411	2.44	3	6	4	3					0	4.7864	By MS/MS	By MS/MS	20982000	26720000	239280	64776	22315000	20256000	28863000	29187000	25794000	26338000	27512000	32854000	30969000	366910	28996000	148070	27008000	28457000	31923000	36249000	38393000	29873000	19538000	24832000	1981200	2000300	21576000	19574000	28840000	29139000	26437000	25841000	26487000	30593000	28890000	2606900	29690000	765350	27747000	27623000	32403000	36310000	37231000	29015000	5	5	5	2	5	5	5	5	5	5	5	7	7	7	7	3	7	7	7	7	7	7	6.3	6.3	4355400000	2173600000	2181800000	16				516	4983;11940;11945	True;True;True	5136;12356;12361	26447;26448;26449;26450;26451;26452;26453;61846;61847;61848;61849;61850;61874;61875;61876;61877	27993;27994;27995;27996;27997;27998;64768;64769;64770;64771;64772;64773;64774;64806;64807;64808	27995;64772;64807			-1
P17074	P17074	6	6	6	40S ribosomal protein S19	Rps19	sp|P17074|RS19_RAT 40S ribosomal protein S19 OS=Rattus norvegicus OX=10116 GN=Rps19 PE=2 SV=3	1	6	6	6	6	4	6	4	6	4	35.2	35.2	35.2	16.085	145	145	4.37	4	6	6	11	6	4	3	6	0	19.637	By MS/MS	By MS/MS	58051000	49960000	416810	31342	47059000	131850000	147670000	143110000	149940000	150580000	155710000	45799000	42763000	950400	35881000	241520	166600000	158640000	162910000	155990000	213070000	161640000	54054000	46429000	5006200	3871400	45493000	126410000	144600000	145160000	152640000	146760000	150030000	42650000	39877000	4005800	37463000	1602900	161570000	152550000	167330000	159010000	206030000	155750000	10	10	7	1	10	16	16	16	16	16	16	9	9	7	9	7	18	18	18	18	18	18	35.2	27.6	50235000000	26249000000	23986000000	45				517	2031;2512;5328;10373;13501;13640	True;True;True;True;True;True	2097;2590;5493;10741;13961;14111	10807;10808;10809;13246;13247;13248;13249;13250;13251;13252;13253;13254;13255;28336;28337;53778;71000;71001;71002;71003;71004;71005;71006;71007;71008;71009;71010;71011;71012;71013;71014;71854;71855;71856;71857;71858;71859;71860;71861;71862;71863;71864;71865;71866;71867;71868	11485;11486;11487;14142;14143;14144;14145;14146;14147;14148;14149;29996;29997;56337;74578;74579;74580;74581;74582;74583;74584;74585;74586;74587;74588;74589;74590;74591;74592;75517;75518;75519;75520;75521;75522;75523;75524;75525;75526;75527;75528;75529;75530;75531;75532	11485;14149;29996;56337;74580;75522			-1
P17077	P17077	7	7	7	60S ribosomal protein L9	Rpl9	sp|P17077|RL9_RAT 60S ribosomal protein L9 OS=Rattus norvegicus OX=10116 GN=Rpl9 PE=1 SV=1	1	7	7	7	7	7	7	7	7	7	52.1	52.1	52.1	21.893	192	192	5.07	4	6	8	5	6	13	11	8	0	161.53	By MS/MS	By MS/MS	73595000	68371000	124250	0	64521000	66151000	72988000	81847000	65842000	72257000	63477000	28560000	28345000	0	25188000	325800	23409000	23855000	27144000	15302000	26944000	19923000	68524000	63541000	5971600	5496200	62078000	63642000	73371000	82137000	67211000	70965000	61307000	26588000	26437000	1495500	25893000	872910	24041000	22702000	27403000	16105000	26323000	19076000	3	3	2	0	3	3	3	3	3	3	3	2	2	0	2	2	2	2	2	2	2	2	52.1	52.1	86844000000	51902000000	34941000000	70				518	1572;1600;3211;4750;12034;12076;12114	True;True;True;True;True;True;True	1629;1657;3309;4893;12453;12498;12499;12537	8432;8433;8434;8435;8561;8562;8563;8564;8565;16883;16884;16885;16886;16887;16888;16889;16890;16891;16892;16893;16894;16895;16896;16897;16898;16899;16900;25025;25026;25027;25028;25029;62478;62479;62480;62481;62482;62789;62790;62791;62792;62793;62794;62795;62796;62797;62798;63067;63068;63069;63070;63071;63072;63073;63074;63075;63076;63077;63078;63079;63080	8926;8927;9068;9069;9070;9071;9072;17930;17931;17932;17933;17934;17935;17936;17937;17938;17939;17940;17941;17942;17943;17944;17945;17946;17947;17948;17949;17950;17951;17952;17953;26488;26489;26490;26491;26492;65458;65459;65460;65461;65462;65463;65464;65806;65807;65808;65809;65810;65811;65812;65813;65814;65815;65816;65817;66123;66124;66125;66126;66127;66128;66129;66130;66131;66132;66133;66134;66135;66136;66137	8927;9072;17946;26489;65461;65813;66137	167	80	-1
P17078	P17078	3	3	3	60S ribosomal protein L35	Rpl35	sp|P17078|RL35_RAT 60S ribosomal protein L35 OS=Rattus norvegicus OX=10116 GN=Rpl35 PE=1 SV=3	1	3	3	3	3	3	3	3	3	3	19.5	19.5	19.5	14.552	123	123	3	5	6	4	2	2	2	1		0	7.8549	By MS/MS	By MS/MS	49171000	55198000	152250	176060	43096000	39247000	61471000	51894000	44725000	50445000	50602000	49622000	42067000	128440	41135000	338160	43908000	42515000	45473000	45112000	45343000	34221000	45783000	51300000	4079900	4606400	41790000	37854000	60873000	52080000	46442000	49327000	48632000	46204000	39249000	3530200	42071000	1391500	44594000	41000000	46151000	45394000	44289000	33349000	5	5	4	3	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	19.5	19.5	28021000000	15449000000	12572000000	24				519	9228;13102;13542	True;True;True	9568;13548;14005	48836;48837;48838;48839;68615;68616;68617;68618;68619;68620;68621;71242;71243;71244;71245;71246;71247;71248;71249;71250;71251;71252	51166;51167;51168;51169;72062;72063;72064;72065;74842;74843;74844;74845;74846;74847;74848;74849;74850;74851;74852;74853;74854;74855;74856;74857	51166;72064;74849			-1
P63164;P17136	P63164;P17136	5;5	5;5	5;5	Small nuclear ribonucleoprotein-associated protein N;Small nuclear ribonucleoprotein-associated protein B	Snrpn;Snrpb	sp|P63164|RSMN_RAT Small nuclear ribonucleoprotein-associated protein N OS=Rattus norvegicus OX=10116 GN=Snrpn PE=2 SV=1;sp|P17136|RSMB_RAT Small nuclear ribonucleoprotein-associated protein B OS=Rattus norvegicus OX=10116 GN=Snrpb PE=2 SV=2	2	5	5	5	5	3	5	3	5	3	21.2	21.2	21.2	24.614	240	240;231	6.21				1	3	4	4	2	0	9.248	By MS/MS	By MS/MS	33767000	25301000	328400	69353	21786000	25722000	32974000	29066000	34191000	33550000	29128000	5899400	5132100	30268	4902900	25240	8337700	8041600	8967800	9366600	8481900	6632200	31442000	23514000	2937700	2132000	21191000	24690000	32900000	29518000	34550000	32582000	28255000	5493100	4787900	430260	5069300	207080	8296200	7777700	9071500	9374000	8303900	6482500	5	5	5	1	5	5	5	5	5	5	5	3	3	2	3	2	3	3	3	3	3	3	21.2	12.1	5791900000	3570800000	2221100000	15				520	1341;3824;5107;5556;13460	True;True;True;True;True	1392;3944;5262;5727;13917	7217;20290;27147;27148;27149;27150;29665;29666;70748;70749;70750;70751;70752;70753	7639;21588;28703;28704;28705;28706;31388;31389;31390;74319;74320;74321;74322;74323;74324	7639;21588;28705;31389;74323			-1;-1
P17164	P17164	2	2	2	Tissue alpha-L-fucosidase	Fuca1	sp|P17164|FUCO_RAT Tissue alpha-L-fucosidase OS=Rattus norvegicus OX=10116 GN=Fuca1 PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	6.1	6.1	6.1	53.486	462	462	7						2		2	0	6.9375	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1	6.1	320760000	167770000	152990000	4				521	3099;12318	True;True	3193;12746	16332;16333;64091;64092	17361;17362;67162;67163	17362;67163			-1
P17220	P17220	8	8	8	Proteasome subunit alpha type-2	Psma2	sp|P17220|PSA2_RAT Proteasome subunit alpha type-2 OS=Rattus norvegicus OX=10116 GN=Psma2 PE=1 SV=3	1	8	8	8	8	7	8	7	8	7	50.9	50.9	50.9	25.926	234	234	3.82	3	7	7	4	6	2	2	2	0	180.51	By MS/MS	By MS/MS	35112000	34048000	363370	309490	31401000	36777000	49036000	44231000	47866000	48128000	43840000	18619000	16724000	62942	15318000	3822.6	27427000	25590000	27479000	30045000	30558000	22580000	32695000	31645000	3178600	3140200	30363000	35382000	48781000	44712000	48604000	46843000	42416000	17337000	15600000	1341600	15776000	86234	27195000	24757000	28029000	30106000	29718000	22013000	5	5	4	3	5	6	6	6	6	6	6	3	3	3	3	2	5	5	5	5	5	5	50.9	41	17620000000	9327600000	8292800000	33				522	70;2772;4813;5008;6616;7977;10175;10861	True;True;True;True;True;True;True;True	71;2858;4956;5161;6823;8218;10534;11251	337;338;339;14540;25452;25453;25454;26611;26612;35331;35332;35333;35334;35335;35336;35337;35338;35339;42138;42139;42140;42141;42142;42143;42144;52989;52990;52991;52992;52993;56261;56262;56263	349;350;351;15483;15484;26934;26935;26936;26937;28177;28178;37384;37385;37386;37387;37388;37389;37390;37391;37392;44275;44276;44277;44278;44279;55518;55519;55520;55521;55522;58873;58874;58875	350;15484;26934;28178;37391;44275;55519;58875			-1
P17256	P17256	2	2	2	Mevalonate kinase	Mvk	sp|P17256|KIME_RAT Mevalonate kinase OS=Rattus norvegicus OX=10116 GN=Mvk PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	9.1	9.1	9.1	41.987	395	395	4	2		2					2	0	29.791	By MS/MS	By MS/MS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.1	9.1	1049100000	492580000	556510000	7				523	7823;13340	True;True	8059;13791	41351;41352;70098;70099;70100;70101	43467;73613;73614;73615;73616;73617;73618	43467;73618			-1
P17425;P22791	P17425	12;1	12;1	12;1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	Hmgcs1	sp|P17425|HMCS1_RAT Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Hmgcs1 PE=1 SV=1	2	12	12	12	12	12	12	12	12	12	32.3	32.3	32.3	57.433	520	520;508	4.72	6	8	9	12	11	8	11	9	0	233.33	By MS/MS	By MS/MS	43488000	41457000	388810	80470	38891000	38744000	46518000	46290000	43088000	48562000	49416000	19820000	19033000	556860	19414000	148730	26210000	20826000	23862000	16012000	21242000	15380000	40493000	38527000	3797200	3080800	37499000	37221000	46680000	46752000	44210000	47334000	47474000	18458000	17761000	1885700	19880000	696100	26229000	19895000	24301000	16478000	20854000	14856000	7	7	4	2	7	7	7	7	7	7	7	5	5	4	5	5	5	5	5	5	5	5	32.3	32.3	35002000000	21071000000	13931000000	75				524	6050;6832;6833;6935;8169;8884;8890;9179;9311;10265;11743;13873	True;True;True;True;True;True;True;True;True;True;True;True	6244;7043;7044;7147;8441;8442;9214;9221;9518;9655;10630;12151;14347	32432;32433;32434;32435;32436;36527;36528;36529;36530;36531;36532;36533;36534;36535;36536;36537;37020;37021;37022;37023;37024;37025;37026;37027;37028;37029;37030;37031;37032;43145;43146;43147;43148;43149;43150;43151;43152;47107;47108;47109;47110;47111;47112;47113;47114;47115;47156;47157;47158;48627;48628;48629;48630;48631;48632;48633;48634;49175;49176;49177;49178;49179;49180;53371;53372;53373;60798;60799;60800;72957;72958;72959;72960;72961	34256;34257;34258;34259;38574;38575;38576;38577;38578;38579;38580;38581;38582;38583;38584;38585;38586;39039;39040;39041;39042;39043;39044;39045;39046;39047;39048;39049;39050;45310;45311;45312;45313;45314;45315;45316;45317;45318;49352;49353;49354;49355;49356;49357;49358;49359;49360;49361;49362;49410;49411;50957;50958;50959;50960;50961;50962;50963;50964;50965;51530;51531;51532;51533;55908;55909;55910;55911;55912;63665;76709;76710;76711;76712;76713	34259;38574;38576;39049;45315;49359;49410;50959;51533;55909;63665;76711	168	56	-1;-1
P17702	P17702	5	5	5	60S ribosomal protein L28	Rpl28	sp|P17702|RL28_RAT 60S ribosomal protein L28 OS=Rattus norvegicus OX=10116 GN=Rpl28 PE=1 SV=4	1	5	5	5	5	4	5	4	5	4	31.4	31.4	31.4	15.848	137	137	3.41	8	7	4	5	6			4	0	43.837	By MS/MS	By MS/MS	72503000	79799000	1115400	639850	73274000	71024000	85359000	86776000	73752000	76318000	78755000	124180000	128130000	3372600	134390000	530440	108100000	107680000	101760000	101550000	193170000	121910000	67515000	74163000	7017700	6883600	70627000	68340000	85592000	87120000	75715000	74967000	75817000	115650000	119590000	11630000	136270000	1402200	110890000	103410000	105530000	104290000	184890000	116970000	11	11	10	4	11	11	11	11	11	11	11	9	9	8	9	6	8	8	8	8	9	9	31.4	26.3	24459000000	13562000000	10897000000	34				525	4767;8353;9808;10424;14566	True;True;True;True;True	4910;8670;10161;10792;15054	25207;25208;25209;25210;25211;25212;44159;44160;44161;44162;44163;44164;44165;44166;44167;44168;44169;44170;51342;51343;51344;51345;51346;51347;51348;51349;51350;51351;51352;51353;53987;53988;53989;76574	26696;26697;26698;26699;26700;26701;46355;46356;46357;46358;46359;46360;46361;46362;46363;46364;46365;46366;53770;53771;53772;53773;53774;53775;53776;53777;53778;53779;56554;56555;56556;56557;56558;80461	26701;46364;53774;56554;80461			-1
P17764	P17764	7	7	7	Acetyl-CoA acetyltransferase, mitochondrial	Acat1	sp|P17764|THIL_RAT Acetyl-CoA acetyltransferase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acat1 PE=1 SV=1	1	7	7	7	7	6	7	6	7	6	27.1	27.1	27.1	44.695	424	424	5.21	4	2	2	4	5	3	5	8	0	97.366	By MS/MS	By MS/MS	20387000	21670000	60203	0	20717000	18443000	20972000	20584000	19414000	18798000	18884000	18471000	18079000	112660	18177000	124620	17843000	19485000	19256000	13114000	24031000	13992000	18983000	20138000	1733000	1476100	19873000	17677000	21211000	20767000	19800000	18432000	18233000	17199000	16870000	1365200	18532000	612100	18230000	18555000	19650000	13651000	23273000	13470000	2	2	1	0	2	2	2	2	2	2	2	3	3	1	3	3	3	3	3	3	3	3	27.1	24.3	11884000000	6013200000	5870500000	35				526	2937;5306;6821;7106;9397;9513;12398	True;True;True;True;True;True;True	3026;5471;7032;7323;9744;9862;12826	15385;15386;15387;15388;15389;15390;15391;28236;28237;28238;28239;28240;28241;28242;28243;36467;36468;36469;36470;36471;36472;37966;49587;49588;49589;49590;50064;50065;64499;64500;64501;64502;64503	16381;16382;16383;16384;16385;16386;16387;16388;29893;29894;29895;29896;29897;29898;38514;38515;38516;38517;38518;38519;39992;51968;51969;51970;51971;51972;51973;52466;67593;67594;67595;67596;67597;67598;67599	16382;29897;38515;39992;51969;52466;67599			-1
P17955	P17955	7	7	7	Nuclear pore glycoprotein p62	Nup62	sp|P17955|NUP62_RAT Nuclear pore glycoprotein p62 OS=Rattus norvegicus OX=10116 GN=Nup62 PE=1 SV=1	1	7	7	7	7	7	7	7	7	7	21.1	21.1	21.1	53.396	525	525	2.6	11	12	5	2		2	3		0	97.861	By MS/MS	By MS/MS	0	0	0	0	0	8882000	9262500	8467500	10360000	10895000	9945600	64424000	63864000	0	58238000	104560	58161000	61490000	66117000	67497000	78364000	57507000	0	0	0	0	0	8491200	8945000	8702800	10477000	10541000	9607000	59974000	59571000	3049900	59680000	1358900	59435000	59348000	67188000	68049000	76030000	55784000	0	0	0	0	0	2	2	2	2	2	2	1	1	0	1	1	3	3	3	3	3	3	21.1	21.1	10690000000	5458000000	5232400000	33				527	2530;2744;4928;5811;10132;10744;14177	True;True;True;True;True;True;True	2609;2830;5080;5988;10491;11127;14660	13352;13353;13354;13355;13356;13357;13358;13359;13360;13361;14421;14422;14423;26112;26113;26114;26115;31171;31172;52836;52837;52838;52839;52840;55739;55740;55741;55742;55743;55744;55745;74548;74549;74550;74551	14248;14249;14250;14251;14252;14253;14254;14255;14256;15381;15382;27581;27582;27583;27584;27585;32974;55363;55364;55365;55366;55367;55368;58364;58365;58366;58367;58368;58369;78375;78376;78377;78378	14251;15381;27582;32974;55368;58369;78378			-1
